symbol,datetime,open,high,low,close,volume
AAPL,2015-07-30 22:00:00,30.65,30.660625,30.2275,30.325,171539812
AAPL,2015-08-02 22:00:00,30.375,30.6425,29.38,29.61,279903872
AAPL,2015-08-03 22:00:00,29.355,29.425,28.3125,28.66,496554492
AAPL,2015-08-04 22:00:00,28.2375,29.36,28.025,28.85,397250452
AAPL,2015-08-05 22:00:00,28.9925,29.125,28.52875,28.7825,211612160
AAPL,2015-08-06 22:00:00,28.645,29.0625,28.625,28.88,154681620
AAPL,2015-08-09 22:00:00,29.1325,29.9975,29.1325,29.93,219806388
AAPL,2015-08-10 22:00:00,29.4525,29.545,28.3325,28.3725,388331256
AAPL,2015-08-11 22:00:00,28.1325,28.855,27.4075,28.81,406742440
AAPL,2015-08-12 22:00:00,29.01,29.1,28.635,28.7875,194143156
AAPL,2015-08-13 22:00:00,28.58,29.0775,28.5025,28.99,171718064
AAPL,2015-08-16 22:00:00,29.01,29.4125,28.875,29.29,163538980
AAPL,2015-08-17 22:00:00,29.1075,29.36,29.0025,29.125,138242832
AAPL,2015-08-18 22:00:00,29.025,29.13,28.67,28.7525,193146040
AAPL,2015-08-19 22:00:00,28.52,28.5875,27.9075,28.1625,274006488
AAPL,2015-08-20 22:00:00,27.6075,27.975,26.41125,26.44,513101884
AAPL,2015-08-23 22:00:00,23.7175,27.2,23.0,25.78,648825160
AAPL,2015-08-24 22:00:00,27.7775,27.7775,25.875,25.935,414406396
AAPL,2015-08-25 22:00:00,26.77125,27.4725,26.2625,27.4225,387098444
AAPL,2015-08-26 22:00:00,28.0575,28.31,27.505,28.23,338464224
AAPL,2015-08-27 22:00:00,28.0425,28.3275,27.885,28.3225,212657628
AAPL,2015-08-30 22:00:00,28.0075,28.6325,28.0,28.19,224917084
AAPL,2015-08-31 22:00:00,27.5375,27.97,26.84,26.93,307383440
AAPL,2015-09-01 22:00:00,27.5575,28.085,27.28275,28.085,247555248
AAPL,2015-09-02 22:00:00,28.1225,28.195,27.51,27.5925,212935760
AAPL,2015-09-03 22:00:00,27.2425,27.6125,27.1275,27.3175,199985244
AAPL,2015-09-07 22:00:00,27.9125,28.14,27.58,28.0775,219374504
AAPL,2015-09-08 22:00:00,28.44,28.505,27.4425,27.5375,340043216
AAPL,2015-09-09 22:00:00,27.5675,28.320625,27.475,28.1425,251571324
AAPL,2015-09-10 22:00:00,27.9475,28.5525,27.94,28.5525,199661892
AAPL,2015-09-13 22:00:00,29.145,29.2225,28.715,28.8275,233453724
AAPL,2015-09-14 22:00:00,28.9825,29.1325,28.605,29.07,173364620
AAPL,2015-09-15 22:00:00,29.0625,29.135,28.86,29.1025,148693956
AAPL,2015-09-16 22:00:00,28.915,29.1225,28.42875,28.48,256450564
AAPL,2015-09-17 22:00:00,28.0525,28.575,27.9675,28.3625,297141164
AAPL,2015-09-20 22:00:00,28.4175,28.8425,28.415,28.8025,200887860
AAPL,2015-09-21 22:00:00,28.345,28.545,28.130025,28.35,201384636
AAPL,2015-09-22 22:00:00,28.4075,28.68,28.325,28.58,143026864
AAPL,2015-09-23 22:00:00,28.3125,28.875,28.0925,28.75,200877900
AAPL,2015-09-24 22:00:00,29.11,29.1725,28.505,28.6775,224607704
AAPL,2015-09-27 22:00:00,28.4625,28.6425,28.11,28.11,208436044
